user_id,event_type,timestamp,country
1,login,2026-01-01 09:00:00,India
1,logout,2026-01-01 09:30:00,India
2,login,2026-01-01 09:05:00,USA
2,logout,2026-01-01 09:35:00,USA
3,login,2026-01-01 09:10:00,UK
3,logout,2026-01-01 09:45:00,UK
4,login,2026-01-01 09:15:00,Canada
4,logout,2026-01-01 09:50:00,Canada
5,login,2026-01-01 09:20:00,India
5,logout,2026-01-01 09:55:00,India
6,login,2026-01-02 09:00:00,USA
6,logout,2026-01-02 09:25:00,USA
7,login,2026-01-02 09:05:00,UK
7,logout,2026-01-02 09:40:00,UK
8,login,2026-01-02 09:10:00,Australia
8,logout,2026-01-02 09:45:00,Australia
9,login,2026-01-02 09:15:00,India
9,logout,2026-01-02 09:50:00,India
10,login,2026-01-02 09:20:00,USA
10,logout,2026-01-02 09:55:00,USA
11,login,2026-01-03 09:00:00,UK
11,logout,2026-01-03 09:30:00,UK
12,login,2026-01-03 09:05:00,Canada
12,logout,2026-01-03 09:40:00,Canada
13,login,2026-01-03 09:10:00,India
13,logout,2026-01-03 09:45:00,India
14,login,2026-01-03 09:15:00,USA
14,logout,2026-01-03 09:50:00,USA
15,login,2026-01-03 09:20:00,UK
15,logout,2026-01-03 09:55:00,UK
16,login,2026-01-04 09:00:00,India
16,logout,2026-01-04 09:35:00,India
17,login,2026-01-04 09:05:00,USA
17,logout,2026-01-04 09:40:00,USA
18,login,2026-01-04 09:10:00,Australia
18,logout,2026-01-04 09:45:00,Australia
19,login,2026-01-04 09:15:00,UK
19,logout,2026-01-04 09:50:00,UK
20,login,2026-01-04 09:20:00,Canada
20,logout,2026-01-04 09:55:00,Canada
21,login,2026-01-05 09:00:00,India
21,logout,2026-01-05 09:30:00,India
22,login,2026-01-05 09:05:00,USA
22,logout,2026-01-05 09:35:00,USA
23,login,2026-01-05 09:10:00,UK
23,logout,2026-01-05 09:45:00,UK
24,login,2026-01-05 09:15:00,Canada
24,logout,2026-01-05 09:50:00,Canada
25,login,2026-01-05 09:20:00,India
25,logout,2026-01-05 09:55:00,India
26,login,2026-01-06 09:00:00,USA
26,logout,2026-01-06 09:30:00,USA
27,login,2026-01-06 09:05:00,UK
27,logout,2026-01-06 09:40:00,UK
28,login,2026-01-06 09:10:00,Australia
28,logout,2026-01-06 09:45:00,Australia
29,login,2026-01-06 09:15:00,India
29,logout,2026-01-06 09:50:00,India
30,login,2026-01-06 09:20:00,USA
30,logout,2026-01-06 09:55:00,USA
31,login,2026-01-07 09:00:00,UK
31,logout,2026-01-07 09:30:00,UK
32,login,2026-01-07 09:05:00,Canada
32,logout,2026-01-07 09:40:00,Canada
33,login,2026-01-07 09:10:00,India
33,logout,2026-01-07 09:45:00,India
34,login,2026-01-07 09:15:00,USA
34,logout,2026-01-07 09:50:00,USA
35,login,2026-01-07 09:20:00,UK
35,logout,2026-01-07 09:55:00,UK
36,login,2026-01-08 09:00:00,India
36,logout,2026-01-08 09:30:00,India
37,login,2026-01-08 09:05:00,USA
37,logout,2026-01-08 09:40:00,USA
38,login,2026-01-08 09:10:00,Australia
38,logout,2026-01-08 09:45:00,Australia
39,login,2026-01-08 09:15:00,UK
39,logout,2026-01-08 09:50:00,UK
40,login,2026-01-08 09:20:00,Canada
40,logout,2026-01-08 09:55:00,Canada
41,login,2026-01-09 09:00:00,India
41,logout,2026-01-09 09:30:00,India
42,login,2026-01-09 09:05:00,USA
42,logout,2026-01-09 09:35:00,USA
43,login,2026-01-09 09:10:00,UK
43,logout,2026-01-09 09:45:00,UK
44,login,2026-01-09 09:15:00,Canada
44,logout,2026-01-09 09:50:00,Canada
45,login,2026-01-09 09:20:00,India
45,logout,2026-01-09 09:55:00,India
46,login,2026-01-10 09:00:00,USA
46,logout,2026-01-10 09:30:00,USA
47,login,2026-01-10 09:05:00,UK
47,logout,2026-01-10 09:40:00,UK
48,login,2026-01-10 09:10:00,Australia
48,logout,2026-01-10 09:45:00,Australia
49,login,2026-01-10 09:15:00,India
49,logout,2026-01-10 09:50:00,India
50,login,2026-01-10 09:20:00,USA
50,logout,2026-01-10 09:55:00,USA
51,login,2026-01-11 09:00:00,UK
51,logout,2026-01-11 09:30:00,UK
52,login,2026-01-11 09:05:00,Canada
52,logout,2026-01-11 09:40:00,Canada
53,login,2026-01-11 09:10:00,India
53,logout,2026-01-11 09:45:00,India
54,login,2026-01-11 09:15:00,USA
54,logout,2026-01-11 09:50:00,USA
55,login,2026-01-11 09:20:00,UK
55,logout,2026-01-11 09:55:00,UK
56,login,2026-01-12 09:00:00,India
56,logout,2026-01-12 09:30:00,India
57,login,2026-01-12 09:05:00,USA
57,logout,2026-01-12 09:40:00,USA
58,login,2026-01-12 09:10:00,Australia
58,logout,2026-01-12 09:45:00,Australia
59,login,2026-01-12 09:15:00,UK
59,logout,2026-01-12 09:50:00,UK
60,login,2026-01-12 09:20:00,Canada
60,logout,2026-01-12 09:55:00,Canada
61,login,2026-01-13 09:00:00,India
61,logout,2026-01-13 09:30:00,India
62,login,2026-01-13 09:05:00,USA
62,logout,2026-01-13 09:40:00,USA
63,login,2026-01-13 09:10:00,UK
63,logout,2026-01-13 09:45:00,UK
64,login,2026-01-13 09:15:00,Canada
64,logout,2026-01-13 09:50:00,Canada
65,login,2026-01-13 09:20:00,India
65,logout,2026-01-13 09:55:00,India
66,login,2026-01-14 09:00:00,USA
66,logout,2026-01-14 09:30:00,USA
67,login,2026-01-14 09:05:00,UK
67,logout,2026-01-14 09:40:00,UK
68,login,2026-01-14 09:10:00,Australia
68,logout,2026-01-14 09:45:00,Australia
69,login,2026-01-14 09:15:00,India
69,logout,2026-01-14 09:50:00,India
70,login,2026-01-14 09:20:00,USA
70,logout,2026-01-14 09:55:00,USA
71,login,2026-01-15 09:00:00,UK
71,logout,2026-01-15 09:30:00,UK
72,login,2026-01-15 09:05:00,Canada
72,logout,2026-01-15 09:40:00,Canada
73,login,2026-01-15 09:10:00,India
73,logout,2026-01-15 09:45:00,India
74,login,2026-01-15 09:15:00,USA
74,logout,2026-01-15 09:50:00,USA
75,login,2026-01-15 09:20:00,UK
75,logout,2026-01-15 09:55:00,UK
76,login,2026-01-16 09:00:00,India
76,logout,2026-01-16 09:30:00,India
77,login,2026-01-16 09:05:00,USA
77,logout,2026-01-16 09:40:00,USA
78,login,2026-01-16 09:10:00,Australia
78,logout,2026-01-16 09:45:00,Australia
79,login,2026-01-16 09:15:00,UK
79,logout,2026-01-16 09:50:00,UK
80,login,2026-01-16 09:20:00,Canada
80,logout,2026-01-16 09:55:00,Canada
81,login,2026-01-17 09:00:00,India
81,logout,2026-01-17 09:30:00,India
82,login,2026-01-17 09:05:00,USA
82,logout,2026-01-17 09:40:00,USA
83,login,2026-01-17 09:10:00,UK
83,logout,2026-01-17 09:45:00,UK
84,login,2026-01-17 09:15:00,Canada
84,logout,2026-01-17 09:50:00,Canada
85,login,2026-01-17 09:20:00,India
85,logout,2026-01-17 09:55:00,India
86,login,2026-01-18 09:00:00,USA
86,logout,2026-01-18 09:30:00,USA
87,login,2026-01-18 09:05:00,UK
87,logout,2026-01-18 09:40:00,UK
88,login,2026-01-18 09:10:00,Australia
88,logout,2026-01-18 09:45:00,Australia
89,login,2026-01-18 09:15:00,India
89,logout,2026-01-18 09:50:00,India
90,login,2026-01-18 09:20:00,USA
90,logout,2026-01-18 09:55:00,USA
91,login,2026-01-19 09:00:00,UK
91,logout,2026-01-19 09:30:00,UK
92,login,2026-01-19 09:05:00,Canada
92,logout,2026-01-19 09:40:00,Canada
93,login,2026-01-19 09:10:00,India
93,logout,2026-01-19 09:45:00,India
94,login,2026-01-19 09:15:00,USA
94,logout,2026-01-19 09:50:00,USA
95,login,2026-01-19 09:20:00,UK
95,logout,2026-01-19 09:55:00,UK
96,login,2026-01-20 09:00:00,India
96,logout,2026-01-20 09:30:00,India
97,login,2026-01-20 09:05:00,USA
97,logout,2026-01-20 09:40:00,USA
98,login,2026-01-20 09:10:00,Australia
98,logout,2026-01-20 09:45:00,Australia
99,login,2026-01-20 09:15:00,UK
99,logout,2026-01-20 09:50:00,UK
100,login,2026-01-20 09:20:00,India
100,logout,2026-01-20 09:55:00,India
